coefficient_case,n,method,mode,repeat,order,seed,setup_seconds,solve_seconds,total_seconds,iterations,info,residual_norm,accepted,solution_sha256
constant,64,cg,monitored,6,37,200926,9.00006853044033e-07,0.02019260002998635,0.020193500036839396,116,0,7.1195348044133394e-09,True,c0c186dd12b9986020bfdbabadf49bb40009aa5e74f132a8c9c9f99241bced47
checkerboard_c100,64,amg-pcg,monitored,6,38,200926,0.028435999993234873,0.026143499999307096,0.05457949999254197,13,0,6.71803140078831e-09,True,d308c303f0bb23be6d75724d95f9158b695a5f0fc05f26075b1f02c073b2731c
checkerboard_c100,128,cg,monitored,6,39,200926,7.00005330145359e-07,0.6203182999743149,0.620318999979645,1050,0,9.782864464391687e-09,True,84c561769da9f6b3fdaab130911b114e0dd94d482c92774463dd3cb7d50f8696
constant,64,jacobi-pcg,count-only,6,40,200926,0.0001724000321701169,0.013060999976005405,0.013233400008175522,116,0,7.1195407181813896e-09,True,4cefd67782ebd94901a29834d2df1799372919f6498b2b63ff2d006d5ec0908d
inclusion_c100,128,amg-pcg,monitored,6,41,200926,0.06684879999374971,0.07661339995684102,0.14346219995059073,12,0,1.6516093419194259e-09,True,9d9eeda5bb87d68d377f8e241e3fd69115a408e0aed55be4cfcd2113513df61c
constant,64,amg-pcg,count-only,6,42,200926,0.04165669996291399,0.024007499974686652,0.06566419993760064,8,0,3.313997454078353e-09,True,ae2684379b8913f514f3c36bdbfc13a5375280ead730379021d9ee8e02bcae96
checkerboard_c100,128,amg-pcg,count-only,6,43,200926,0.09251480002421886,0.1240610999520868,0.21657589997630566,17,0,2.2734565779232127e-09,True,3ef707d417957275c01d96cc12a8c912a50fa935c12843568ff8aaef9fb31fae
constant,256,jacobi-pcg,monitored,6,44,200926,0.0015463000163435936,1.0817119000130333,1.083258200029377,466,0,9.709647334825638e-09,True,0655f7f76977876468685585c09390380dc41c1c1b734baf37c9d59b3be2140c
inclusion_c100,64,cg,monitored,6,45,200926,1.00000761449337e-06,0.14059520000591874,0.14059620001353323,796,0,6.111489849440583e-09,True,e1f6cc44710120e03a5a7206da00b7ff88e245dc109dab1c2998ea663f7ef3af
constant,128,amg-pcg,monitored,6,46,200926,0.07553370000096038,0.05496300000231713,0.1304967000032775,10,0,9.206110560161594e-10,True,3e737eaa18c4c69c1d5d206255bce55583147f3a6a3359f13be79f9a2b189ea4
inclusion_c100,256,amg-pcg,count-only,6,47,200926,0.2596076999907382,0.24294720002217218,0.5025549000129104,12,0,4.4467469073935045e-09,True,a1ff7fa9b300c2d7a2f8d98f86a18f2068face5e2ff96f0c5b03c47dc6d1b314
checkerboard_c100,256,jacobi-pcg,monitored,6,48,200926,0.0014693999546580017,1.7834961999906227,1.7849655999452807,718,0,9.718794633448405e-09,True,a99ea91fc49f801a8ee88a81f30b4addfaa884ce806b45191e88c9bc5836a2c2
constant,256,amg-pcg,monitored,6,49,200926,0.42533019999973476,0.22734839998884127,0.652678599988576,9,0,4.766740687134079e-09,True,112d28d61997940e8fde5b0d6967dce86810cebcfdcd90077ff5303e7c7437a9
inclusion_c100,128,amg-pcg,count-only,6,50,200926,0.07954760000575334,0.1416293000220321,0.22117690002778545,12,0,1.6516093419194259e-09,True,9d9eeda5bb87d68d377f8e241e3fd69115a408e0aed55be4cfcd2113513df61c
inclusion_c100,64,amg-pcg,monitored,6,51,200926,0.036137100018095225,0.027222500008065253,0.06335960002616048,10,0,2.160467134479591e-09,True,e9650599a375a9f30c4d6f103d7fda047b5f8d90ef8cae63d0b7585a28b4bd4f
inclusion_c100,256,cg,count-only,6,52,200926,8.999486453831196e-07,6.931431400007568,6.931432299956214,4368,0,9.47474092771194e-09,True,3e314424b8fefbedee22622d84da40659140318f3b7bd1392fad611a493531f6
constant,128,jacobi-pcg,count-only,6,53,200926,0.0006476000417023897,0.1751566000166349,0.1758042000583373,235,0,9.504054098938157e-09,True,f4ec07c5bd1f4382a4a01680ded95a64c68eb941cdfcc20d9061420ea474b93b
