coefficient_case,family,contrast_target,contrast_observed,grad_logk_inf,total_variation_proxy,n,n_unknowns,method,tolerance,converged,iterations,setup_seconds,solve_seconds,total_seconds,residual_norm,memory_estimate_mb,best_method,is_best,speedup_vs_cg
inclusion_c10,inclusion,10.0,10.0,102.57493261145427,10.285714285714286,64,3844,cg,1e-08,True,301,6.998889148235321e-07,0.02612489997409284,0.026125599863007665,9.00162388527172e-09,0.3197669982910156,jacobi-pcg,False,1.0
inclusion_c10,inclusion,10.0,10.0,102.57493261145427,10.285714285714286,64,3844,jacobi-pcg,1e-08,True,120,0.0001218999968841672,0.007507900008931756,0.007629800005815923,9.999179030270707e-09,0.3197669982910156,jacobi-pcg,True,3.424152643987137
inclusion_c10,inclusion,10.0,10.0,102.57493261145427,10.285714285714286,64,3844,amg-pcg,1e-08,True,9,0.019339999998919666,0.006862999987788498,0.026202999986708164,9.622140106006076e-10,0.3197669982910156,jacobi-pcg,False,0.997046135032639
inclusion_c10,inclusion,10.0,10.0,206.77803875642368,10.771653543307087,128,15876,cg,1e-08,True,676,8.00006091594696e-07,0.5949314000317827,0.5949322000378743,9.440935330276664e-09,1.3266029357910156,amg-pcg,False,1.0
inclusion_c10,inclusion,10.0,10.0,206.77803875642368,10.771653543307087,128,15876,jacobi-pcg,1e-08,True,247,0.00021039997227489948,0.24155370006337762,0.24176410003565252,9.141466885396861e-09,1.3266029357910156,amg-pcg,False,2.4607962884073387
inclusion_c10,inclusion,10.0,10.0,206.77803875642368,10.771653543307087,128,15876,amg-pcg,1e-08,True,10,0.07993969996459782,0.04059710004366934,0.12053680000826716,5.109112111877651e-09,1.3266029357910156,amg-pcg,True,4.935689349618292
inclusion_c10,inclusion,10.0,10.0,415.1842510463625,10.729411764705882,256,64516,cg,1e-08,True,1420,3.00002284348011e-07,2.096003800048493,2.096004100050777,9.564693882381566e-09,5.402774810791016,amg-pcg,False,1.0
inclusion_c10,inclusion,10.0,10.0,415.1842510463625,10.729411764705882,256,64516,jacobi-pcg,1e-08,True,500,0.00028190005104988813,0.6944693999830633,0.6947513000341132,9.664294493396845e-09,5.402774810791016,amg-pcg,False,3.016912814625695
inclusion_c10,inclusion,10.0,10.0,415.1842510463625,10.729411764705882,256,64516,amg-pcg,1e-08,True,10,0.18733610003255308,0.08134989999234676,0.26868600002489984,9.68130605350546e-09,5.402774810791016,amg-pcg,True,7.8009427355967
inclusion_c30,inclusion,30.0,30.0,151.51561316181613,33.142857142857146,64,3844,cg,1e-08,True,489,7.00005330145359e-07,0.02698760002385825,0.026988300029188395,9.519163267005871e-09,0.3197669982910156,jacobi-pcg,False,1.0
