repeat_index,coefficient_case,family,contrast_target,contrast_observed,grad_logk_inf,total_variation_proxy,n,n_unknowns,method,tolerance,converged,iterations,setup_seconds,solve_seconds,total_seconds,residual_norm,memory_estimate_mb,best_method,is_best,speedup_vs_cg
2,checkerboard_c100,checkerboard,100.0,100.0,413.55607751284737,1396.9133858267717,128,15876,amg-pcg,1e-08,True,17,0.0518770000198856,0.04185679997317493,0.09373379999306053,2.2699518777295833e-09,1.3266029357910156,amg-pcg,True,6.794043344370614
2,checkerboard_c100,checkerboard,100.0,100.0,830.368502092725,1391.4352941176471,256,64516,cg,1e-08,True,2268,4.00003045797348e-07,2.5510836999164894,2.551084099919535,9.554368262969479e-09,5.402774810791016,amg-pcg,False,1.0
2,checkerboard_c100,checkerboard,100.0,100.0,830.368502092725,1391.4352941176471,256,64516,jacobi-pcg,1e-08,True,718,0.00033549999352544546,0.7982476999750361,0.7985831999685615,9.718334064724532e-09,5.402774810791016,amg-pcg,False,3.1945126068516916
2,checkerboard_c100,checkerboard,100.0,100.0,830.368502092725,1391.4352941176471,256,64516,amg-pcg,1e-08,True,17,0.17478929995559156,0.1325213999953121,0.30731069995090365,3.6688607309602465e-09,5.402774810791016,amg-pcg,True,8.301318829208029
3,constant,constant,1.0,1.0,0.0,0.0,64,3844,cg,1e-08,True,116,3.00002284348011e-07,0.00719909998588264,0.007199399988166988,7.1195348044133394e-09,0.3197669982910156,cg,True,1.0
3,constant,constant,1.0,1.0,0.0,0.0,64,3844,jacobi-pcg,1e-08,True,116,0.0001547998981550336,0.007622600067406893,0.007777399965561926,7.1195407181813896e-09,0.3197669982910156,cg,False,0.9256821071367933
3,constant,constant,1.0,1.0,0.0,0.0,64,3844,amg-pcg,1e-08,True,8,0.008840000024065375,0.004468500032089651,0.013308500056155026,3.3201653201153052e-09,0.3197669982910156,cg,False,0.5409625395641299
3,constant,constant,1.0,1.0,0.0,0.0,128,15876,cg,1e-08,True,235,5.00003807246685e-07,0.14517569995950907,0.14517619996331632,9.50404988287223e-09,1.3266029357910156,amg-pcg,False,1.0
3,constant,constant,1.0,1.0,0.0,0.0,128,15876,jacobi-pcg,1e-08,True,235,0.00013379997108131647,0.14988740009721369,0.150021200068295,9.504086634597289e-09,1.3266029357910156,amg-pcg,False,0.9677045637365048
3,constant,constant,1.0,1.0,0.0,0.0,128,15876,amg-pcg,1e-08,True,10,0.052100300090387464,0.02522289997432381,0.07732320006471127,9.190756341175512e-10,1.3266029357910156,amg-pcg,True,1.8775244666777802
3,constant,constant,1.0,1.0,0.0,0.0,256,64516,cg,1e-08,True,466,3.00002284348011e-07,0.5230345000745729,0.5230348000768572,9.709796185319237e-09,5.402774810791016,amg-pcg,False,1.0
3,constant,constant,1.0,1.0,0.0,0.0,256,64516,jacobi-pcg,1e-08,True,466,0.00029740005265921354,0.532651900080964,0.5329493001336232,9.709851023876624e-09,5.402774810791016,amg-pcg,False,0.9813969170157834
3,constant,constant,1.0,1.0,0.0,0.0,256,64516,amg-pcg,1e-08,True,9,0.16676379996351898,0.06682159996125847,0.23358539992477745,4.744690567112688e-09,5.402774810791016,amg-pcg,True,2.239158784090497
3,smooth_c30,smooth,30.0,29.723113434605743,16.411269260375754,4.761912354840547,64,3844,cg,1e-08,True,242,6.00004568696022e-07,0.011540600098669529,0.011541200103238225,8.529053092533215e-09,0.3197669982910156,jacobi-pcg,False,1.0
3,smooth_c30,smooth,30.0,29.723113434605743,16.411269260375754,4.761912354840547,64,3844,jacobi-pcg,1e-08,True,147,8.260004688054323e-05,0.007002800004556775,0.007085400051437318,8.232383469084395e-09,0.3197669982910156,jacobi-pcg,True,1.6288706381366596
