n,contrast,shift_x,shift_y,alpha,repeat,order,method,seed,audit_seconds,operator_reflection_defect,rhs_even_fraction,rhs_odd_fraction,setup,solve,total,iterations,info,residual,accepted,complexity
128,1000.0,0,0,0.01,2,0,jacobi,3703,0.002982799999699637,0.0,9.999000099990046e-05,0.9999000099989998,8.549999984097667e-05,0.043925400000262016,0.04401090000010299,439,0,9.110266526314452e-10,True,0.0
128,1000.0,0,0,0.01,2,1,amg0,3703,0.002982799999699637,0.0,9.999000099990046e-05,0.9999000099989998,0.027720099999896775,0.02798510000047827,0.055705200000375044,15,0,7.972417045600266e-10,True,1.3399006034788783
128,1000.0,0,0,1e-06,0,0,jacobi,3701,0.002469800000653777,0.0,1.0000000000126787e-12,0.9999999999989999,8.230000003095483e-05,0.03876200000013341,0.03884430000016437,396,0,8.901384736356097e-10,True,0.0
128,1000.0,0,0,1e-06,0,1,amg0,3701,0.002469800000653777,0.0,1.0000000000126787e-12,0.9999999999989999,0.024713200000405777,0.026402699999380275,0.05111589999978605,15,0,7.8512781439156e-10,True,1.3399006034788783
128,1000.0,0,0,1e-06,1,0,jacobi,3702,0.002469800000653777,0.0,1.0000000000126787e-12,0.9999999999989999,0.00017019999995682156,0.04014499999993859,0.04031519999989541,396,0,8.901384736356097e-10,True,0.0
128,1000.0,0,0,1e-06,1,1,amg0,3702,0.002469800000653777,0.0,1.0000000000126787e-12,0.9999999999989999,0.024173599999812723,0.029609899999741174,0.053783499999553896,15,0,7.670606743769955e-10,True,1.3399006034788783
128,1000.0,0,0,1e-06,2,0,jacobi,3703,0.002469800000653777,0.0,1.0000000000126787e-12,0.9999999999989999,0.0001731000002109795,0.03979819999949541,0.03997129999970639,396,0,8.901384736356097e-10,True,0.0
128,1000.0,0,0,1e-06,2,1,amg0,3703,0.002469800000653777,0.0,1.0000000000126787e-12,0.9999999999989999,0.025599800000236428,0.02635889999965002,0.05195869999988645,15,0,7.876241317869986e-10,True,1.3399006034788783
128,1000.0,0,0,0.0,0,0,amg0,3701,0.002215999999862106,0.0,5.312517350595355e-32,1.0,0.02518049999980576,0.028684699999757868,0.05386519999956363,15,0,7.850754737193365e-10,True,1.3399006034788783
128,1000.0,0,0,0.0,0,1,jacobi,3701,0.002215999999862106,0.0,5.312517350595355e-32,1.0,0.00016869999944901792,0.026913899999271962,0.02708259999872098,266,0,9.116982490188135e-10,True,0.0
128,1000.0,0,0,0.0,1,0,jacobi,3702,0.002215999999862106,0.0,5.312517350595355e-32,1.0,8.619999971415382e-05,0.02575189999970462,0.025838099999418773,266,0,9.116982490188135e-10,True,0.0
128,1000.0,0,0,0.0,1,1,amg0,3702,0.002215999999862106,0.0,5.312517350595355e-32,1.0,0.025825499999882595,0.027954700000009325,0.05378019999989192,15,0,7.669555950186956e-10,True,1.3399006034788783
128,1000.0,0,0,0.0,2,0,jacobi,3703,0.002215999999862106,0.0,5.312517350595355e-32,1.0,0.0001695000000836444,0.026511000000027707,0.02668050000011135,266,0,9.116982490188135e-10,True,0.0
128,1000.0,0,0,0.0,2,1,amg0,3703,0.002215999999862106,0.0,5.312517350595355e-32,1.0,0.026241599999593745,0.02739300000030198,0.05363459999989573,15,0,7.874866133483719e-10,True,1.3399006034788783
128,1000.0,0,0,0.0001,0,0,amg0,3701,0.0024923999999373336,0.0,9.999999899996415e-09,0.9999999900000004,0.02845179999985703,0.02852840000014112,0.05698019999999815,15,0,7.853363172672599e-10,True,1.3399006034788783
128,1000.0,0,0,0.0001,0,1,jacobi,3701,0.0024923999999373336,0.0,9.999999899996415e-09,0.9999999900000004,0.00022759999956178945,0.047278900000492285,0.047506500000054075,423,0,8.825442906643669e-10,True,0.0
128,1000.0,0,0,0.0001,1,0,amg0,3702,0.0024923999999373336,0.0,9.999999899996415e-09,0.9999999900000004,0.026955199999974866,0.031684199999290286,0.05863939999926515,15,0,7.671481788356852e-10,True,1.3399006034788783
128,1000.0,0,0,0.0001,1,1,jacobi,3702,0.0024923999999373336,0.0,9.999999899996415e-09,0.9999999900000004,0.00018589999945106683,0.05230110000047716,0.05248699999992823,423,0,8.825442906643669e-10,True,0.0
128,1000.0,0,0,0.0001,2,0,amg0,3703,0.0024923999999373336,0.0,9.999999899996415e-09,0.9999999900000004,0.027819100000670005,0.028818199999477656,0.05663730000014766,15,0,7.87755589704524e-10,True,1.3399006034788783
128,1000.0,0,0,0.0001,2,1,jacobi,3703,0.0024923999999373336,0.0,9.999999899996415e-09,0.9999999900000004,0.0002133999996658531,0.045339899999817135,0.04555329999948299,423,0,8.825442906643669e-10,True,0.0
192,1000.0,0,1,0.0,0,0,jacobi,3701,0.004571899999973539,0.0,2.716841757413203e-32,0.9999999999999998,0.0001480999999330379,0.10968599999978323,0.10983409999971627,491,0,9.893366713175118e-10,True,0.0
