n,contrast,geometry,average,rhs,method,count,iterations,median_total,all_accepted,max_residual
128,10000.0,connected,harmonic,random,jacobi,2,577.0,0.048293199999989156,True,9.574313130884414e-09
128,10000.0,connected,harmonic,dipole,jacobi,2,591.0,0.051477949999934935,True,8.555733645336347e-09
64,1000000.0,connected,harmonic,ones,amg025,2,28.0,0.01892160000079457,True,6.093200135462218e-08
64,1000000.0,connected,harmonic,random,amg025,2,27.0,0.018184300000029907,True,7.658220514218861e-09
64,1000000.0,connected,harmonic,random,cg,2,6548.0,0.19183409999959622,True,7.3613715793439236e-09
64,1000000.0,connected,harmonic,ones,jacobi,2,341.0,0.010674150000340887,False,1.649257004060751e-07
64,1000000.0,connected,harmonic,dipole,jacobi,2,334.0,0.013752750000094238,True,9.329012582137666e-09
64,1000000.0,connected,harmonic,ones,amg0,2,12.0,0.013305049999871699,True,4.561287834859471e-08
64,1000000.0,connected,harmonic,dipole,amg0,2,12.0,0.013539850000142906,True,2.431909796110047e-09
64,1000000.0,connected,harmonic,random,amg0,2,11.0,0.012946100000590377,True,6.348225446122062e-10
64,1000000.0,connected,harmonic,dipole,amg025,2,28.0,0.018597549999867624,True,3.27792163216749e-09
64,1000000.0,connected,harmonic,random,jacobi,2,337.0,0.010587750000468077,True,9.772878010870086e-09
64,1000000.0,connected,harmonic,dipole,cg,2,6300.0,0.1879567500000121,True,3.566244702282112e-08
64,1000000.0,connected,harmonic,ones,cg,2,6655.0,0.19446239999979298,False,1.1034979728795945e-06
64,1000000.0,disconnected,arithmetic,random,jacobi,2,380.0,0.0120137000003524,True,9.156220420305142e-09
64,1000000.0,disconnected,arithmetic,random,cg,2,6100.0,0.18686385000000882,True,8.326346260559012e-09
64,1000000.0,disconnected,arithmetic,dipole,jacobi,2,135.0,0.004458850000446546,True,9.230751194313987e-09
64,1000000.0,disconnected,arithmetic,ones,cg,2,3972.0,0.11703410000018266,False,9.50757469842175e-07
64,1000000.0,disconnected,arithmetic,random,amg0,2,16.0,0.01591550000011921,True,5.771840348052693e-09
64,1000000.0,disconnected,arithmetic,ones,amg025,2,35.0,0.022468450000360463,True,8.188586222794617e-08
64,1000000.0,disconnected,arithmetic,random,amg025,2,34.5,0.02210705000015878,True,9.894244475509056e-09
64,1000000.0,disconnected,arithmetic,ones,jacobi,2,201.0,0.006578500000159693,False,1.485933749382282e-07
64,1000000.0,disconnected,arithmetic,dipole,amg025,2,35.0,0.024444649999622925,True,3.605806560383806e-09
64,1000000.0,disconnected,arithmetic,dipole,cg,2,3031.0,0.09913685000037731,True,8.893897593206798e-09
64,1000000.0,disconnected,arithmetic,dipole,amg0,2,17.0,0.016717449999759992,True,1.0034028359196692e-08
64,1000000.0,disconnected,arithmetic,ones,amg0,2,17.0,0.022491749999971944,True,6.298255677306194e-08
64,100.0,connected,harmonic,random,cg,2,1392.0,0.04336564999948678,True,9.926051694634687e-09
64,100.0,connected,harmonic,random,amg025,2,21.0,0.01581190000024435,True,8.257666752435268e-09
