n,contrast,motif,shift,rhs,method,repeat,order,seed,setup,solve,total,iterations,info,residual,accepted,complexity,levels
192,1000.0,two_by_eight,0,odd_x,rs025,6,8,13407,0.03473399999893445,0.04892719999952533,0.08366119999845978,11,0,1.93057044845583e-10,True,2.204167130299321,8
192,1000.0,three_by_six,1,odd_x,amg0,6,9,13407,0.05092689999946742,0.06949960000019928,0.1204264999996667,16,0,3.731282936892341e-10,True,1.3386725269834205,5
192,1000.0,two_by_eight,1,odd_x,rs025,6,10,13407,0.036549899999954505,0.04623919999903592,0.08278909999899042,12,0,3.9635736687167694e-10,True,2.2042172026260154,8
192,1000.0,two_by_eight,0,odd_x,jacobi,6,11,13407,0.00025830000049609225,0.08485339999970165,0.08511170000019774,403,0,9.076303314903551e-10,True,0.0,0
192,1000.0,three_by_six,0,odd_x,amg0,6,12,13407,0.04226849999940896,0.06983260000015434,0.1121010999995633,18,0,2.0640544615668353e-10,True,1.3386725269834205,5
192,1000.0,three_by_six,1,random,rs025,6,13,13407,0.034578200000396464,0.04132969999955094,0.0759078999999474,11,0,8.916570637949889e-10,True,2.1999221097140316,8
192,1000.0,three_by_six,0,random,amg0,6,14,13407,0.04265549999945506,0.06742149999990943,0.11007699999936449,16,0,2.1230797233824202e-10,True,1.3386725269834205,5
192,1000.0,two_by_eight,1,odd_x,amg0,6,15,13407,0.0479033999999956,0.06960929999877408,0.11751269999876968,16,0,1.6317362698170199e-10,True,1.3386725269834205,5
192,1000.0,two_by_eight,1,random,rs025,6,16,13407,0.03750970000146481,0.04437289999987115,0.08188260000133596,11,0,1.6185291937575478e-10,True,2.2042172026260154,8
192,1000.0,two_by_eight,0,odd_x,amg0,6,17,13407,0.04807310000069265,0.07103790000110166,0.11911100000179431,17,0,4.781852732799189e-10,True,1.3386725269834205,5
192,1000.0,three_by_six,1,random,jacobi,6,18,13407,0.0002581999997346429,0.2361416999992798,0.23639989999901445,952,0,9.485350330749907e-10,True,0.0,0
