n,contrast,geometry,average,rhs,repeat,order,method,seed,reflection_x,reflection_y,high_nodes,mean,tv,grad,components,setup,solve,total,iterations,info,residual,accepted,complexity
192,1000.0,components1_77,harmonic,ones,1,4,jacobi,2702,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.0002102999997077859,0.16406129999995755,0.16427159999966534,897,0,2.764682391661647e-09,True,0.0
192,1000.0,components1_77,harmonic,random,1,5,amg0,2702,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.05769959999997809,0.04726010000013048,0.10495970000010857,13,0,2.3197573741648838e-10,True,1.3386725269834205
192,1000.0,components1_77,harmonic,dipole_y,1,6,amg0,2702,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.047824799999943934,0.04951829999936308,0.09734309999930701,15,0,9.51536001683095e-10,True,1.3386725269834205
192,1000.0,components1_77,harmonic,dipole_y,1,7,jacobi,2702,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.00024899999971239595,0.16923429999951622,0.16948329999922862,901,0,9.835187296668944e-10,True,0.0
192,1000.0,components1_77,harmonic,dipole_y,2,0,jacobi,2703,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.0002375999993091682,0.17550010000013572,0.17573769999944489,901,0,9.835187296668944e-10,True,0.0
192,1000.0,components1_77,harmonic,dipole_x,2,1,jacobi,2703,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.0002196000004914822,0.1581810999996378,0.1584007000001293,896,0,9.969478092037873e-10,True,0.0
192,1000.0,components1_77,harmonic,ones,2,2,jacobi,2703,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.0002173000002585468,0.17340789999980188,0.17362520000006043,897,0,2.764682391661647e-09,True,0.0
192,1000.0,components1_77,harmonic,random,2,3,jacobi,2703,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.00026079999952344224,0.1562577999993664,0.15651859999888984,870,0,9.70666854338555e-10,True,0.0
192,1000.0,components1_77,harmonic,random,2,4,amg0,2703,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.04028699999980745,0.05057999999917229,0.09086699999897974,13,0,2.323215222096806e-10,True,1.3386725269834205
192,1000.0,components1_77,harmonic,dipole_x,2,5,amg0,2703,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.0444697000002634,0.05223329999989801,0.09670300000016141,15,0,5.808128504549487e-10,True,1.3386725269834205
