n,contrast,geometry,average,rhs,repeat,method,order,seed,high_nodes,mean,tv,grad,components,setup,solve,total,iterations,info,residual,accepted,levels,complexity
64,10000.0,connected,harmonic,ones,0,cg,20,731,192,469.703125,12697.142857142857,410.2997304458171,1,7.999997251317836e-07,0.12799559999984922,0.12799639999957435,3817,0,1.1262248089381687e-08,True,0,0.0
64,10000.0,connected,harmonic,dipole,1,amg025,21,732,192,469.703125,12697.142857142857,410.2997304458171,1,0.00708550000035757,0.010911100000157603,0.017996600000515173,25,0,2.6885458822172643e-09,True,3,1.3029728020240354
64,10000.0,connected,harmonic,random,0,amg0,22,731,192,469.703125,12697.142857142857,410.2997304458171,1,0.008000399999218644,0.0063916000008248375,0.014392000000043481,11,0,5.98601295667854e-10,True,4,1.3290638836179633
64,10000.0,connected,harmonic,ones,0,amg0,23,731,192,469.703125,12697.142857142857,410.2997304458171,1,0.007995899999514222,0.006398000000444881,0.014393899999959103,12,0,1.934316962431909e-09,True,4,1.3290638836179633
128,1000000.0,disconnected,arithmetic,dipole,1,cg,0,732,768,46875.953125,1259841.2598425196,1240.6682325385418,2,9.99999429041054e-07,0.6796744000002946,0.6796753999997236,8000,8000,0.00019899497465346462,False,0,0.0
128,1000000.0,disconnected,arithmetic,dipole,1,jacobi,1,732,768,46875.953125,1259841.2598425196,1240.6682325385418,2,8.179999986168696e-05,0.02533159999984491,0.0254133999997066,256,0,9.035338666289224e-09,True,0,0.0
128,1000000.0,disconnected,arithmetic,ones,0,amg0,2,731,768,46875.953125,1259841.2598425196,1240.6682325385418,2,0.022972400000071502,0.029106999999385152,0.052079399999456655,19,0,2.654127862499888e-07,False,5,1.3399006034788783
128,1000000.0,disconnected,arithmetic,ones,1,amg0,3,732,768,46875.953125,1259841.2598425196,1240.6682325385418,2,0.023079900000084308,0.03189410000049975,0.054974000000584056,19,0,2.546458293960155e-07,False,5,1.3399006034788783
128,1000000.0,disconnected,arithmetic,dipole,0,cg,4,731,768,46875.953125,1259841.2598425196,1240.6682325385418,2,1.2000000424450263e-06,0.6668853999999556,0.666886599999998,8000,8000,0.00019899497465346462,False,0,0.0
128,1000000.0,disconnected,arithmetic,random,1,amg0,5,732,768,46875.953125,1259841.2598425196,1240.6682325385418,2,0.025008200000229408,0.025426100000004226,0.050434300000233634,17,0,3.324173523705466e-09,True,5,1.3399006034788783
128,1000000.0,disconnected,arithmetic,random,1,cg,6,732,768,46875.953125,1259841.2598425196,1240.6682325385418,2,1.2999998943996616e-06,0.657999999999447,0.6580012999993414,8000,8000,0.139507466201072,False,0,0.0
128,1000000.0,disconnected,arithmetic,random,1,amg025,7,732,768,46875.953125,1259841.2598425196,1240.6682325385418,2,0.01974320000044827,0.09549990000050457,0.11524310000095284,68,0,4.595736749641064e-09,True,3,1.3313555454130535
128,1000000.0,disconnected,arithmetic,ones,1,amg025,8,732,768,46875.953125,1259841.2598425196,1240.6682325385418,2,0.022816100000454753,0.10032219999993686,0.12313830000039161,69,0,3.9403491299772045e-07,False,3,1.3313555454130535
128,1000000.0,disconnected,arithmetic,ones,0,jacobi,9,731,768,46875.953125,1259841.2598425196,1240.6682325385418,2,7.960000039020088e-05,0.035860100000718376,0.03593970000110858,432,0,8.118401708541014e-07,False,0,0.0
128,1000000.0,disconnected,arithmetic,ones,1,cg,10,732,768,46875.953125,1259841.2598425196,1240.6682325385418,2,1.100000190490391e-06,0.5995837000000392,0.5995848000002297,8000,8000,0.008764504703833434,False,0,0.0
128,1000000.0,disconnected,arithmetic,random,0,jacobi,11,731,768,46875.953125,1259841.2598425196,1240.6682325385418,2,7.749999986117473e-05,0.07941480000044976,0.07949230000031093,795,0,9.22804693687224e-09,True,0,0.0
128,1000000.0,disconnected,arithmetic,dipole,1,amg025,12,732,768,46875.953125,1259841.2598425196,1240.6682325385418,2,0.0249389999999039,0.09314780000022438,0.11808680000012828,52,0,9.146080360382807e-09,True,3,1.3313555454130535
128,1000000.0,disconnected,arithmetic,dipole,0,amg0,13,731,768,46875.953125,1259841.2598425196,1240.6682325385418,2,0.02263390000007348,0.027933900000789436,0.05056780000086292,18,0,5.642395580511084e-09,True,5,1.3399006034788783
128,1000000.0,disconnected,arithmetic,random,1,jacobi,14,732,768,46875.953125,1259841.2598425196,1240.6682325385418,2,7.339999956457177e-05,0.06673249999948894,0.06680589999905351,795,0,9.22804693687224e-09,True,0,0.0
128,1000000.0,disconnected,arithmetic,dipole,0,amg025,15,731,768,46875.953125,1259841.2598425196,1240.6682325385418,2,0.023055200000271725,0.07349259999955393,0.09654779999982566,52,0,9.142608667581146e-09,True,3,1.3313555454130535
128,1000000.0,disconnected,arithmetic,dipole,0,jacobi,16,731,768,46875.953125,1259841.2598425196,1240.6682325385418,2,7.389999973383965e-05,0.02346209999996063,0.023535999999694468,256,0,9.035338666289224e-09,True,0,0.0
128,1000000.0,disconnected,arithmetic,ones,0,amg025,17,731,768,46875.953125,1259841.2598425196,1240.6682325385418,2,0.019866899999215093,0.10977379999985715,0.12964069999907224,72,0,4.263713128723988e-07,False,3,1.3313555454130535
128,1000000.0,disconnected,arithmetic,ones,1,jacobi,18,732,768,46875.953125,1259841.2598425196,1240.6682325385418,2,9.970000064640772e-05,0.045220099999824015,0.04531980000047042,432,0,8.118401708541014e-07,False,0,0.0
128,1000000.0,disconnected,arithmetic,ones,0,cg,19,731,768,46875.953125,1259841.2598425196,1240.6682325385418,2,1.2000000424450263e-06,0.6817641000006915,0.681765300000734,8000,8000,0.008764504703833434,False,0,0.0
128,1000000.0,disconnected,arithmetic,dipole,1,amg0,20,732,768,46875.953125,1259841.2598425196,1240.6682325385418,2,0.022542100000464416,0.03321390000019164,0.05575600000065606,18,0,5.510304858817445e-09,True,5,1.3399006034788783
128,1000000.0,disconnected,arithmetic,random,0,cg,21,731,768,46875.953125,1259841.2598425196,1240.6682325385418,2,1.0000003385357559e-06,0.7559737000001405,0.7559747000004791,8000,8000,0.139507466201072,False,0,0.0
128,1000000.0,disconnected,arithmetic,random,0,amg0,22,731,768,46875.953125,1259841.2598425196,1240.6682325385418,2,0.0232624999998734,0.028736899999785237,0.051999399999658635,17,0,3.379065296021039e-09,True,5,1.3399006034788783
128,1000000.0,disconnected,arithmetic,random,0,amg025,23,731,768,46875.953125,1259841.2598425196,1240.6682325385418,2,0.02051690000007511,0.10628400000041438,0.1268009000004895,68,0,4.546005547417137e-09,True,3,1.3313555454130535
64,100.0,disconnected,harmonic,random,0,jacobi,0,731,192,5.640625,125.71428571428571,205.14986522290855,2,4.400000034365803e-05,0.009365599999910046,0.009409600000253704,269,0,8.338664267900116e-09,True,0,0.0
64,100.0,disconnected,harmonic,dipole,0,amg025,1,731,192,5.640625,125.71428571428571,205.14986522290855,2,0.007580499999676249,0.010527100000217615,0.018107599999893864,24,0,4.4856007731359875e-09,True,3,1.3134092346616066
64,100.0,disconnected,harmonic,ones,0,amg0,2,731,192,5.640625,125.71428571428571,205.14986522290855,2,0.008908000000701577,0.007862800000111747,0.016770800000813324,12,0,1.594709476447065e-09,True,4,1.3290638836179633
64,100.0,disconnected,harmonic,dipole,0,amg0,3,731,192,5.640625,125.71428571428571,205.14986522290855,2,0.009026299999277398,0.006441499999709777,0.015467799998987175,12,0,9.107920898206291e-10,True,4,1.3290638836179633
64,100.0,disconnected,harmonic,random,0,amg025,4,731,192,5.640625,125.71428571428571,205.14986522290855,2,0.012400499999785097,0.010572899999715446,0.022973399999500543,24,0,4.035029512061458e-09,True,3,1.3134092346616066
64,100.0,disconnected,harmonic,dipole,1,amg0,5,732,192,5.640625,125.71428571428571,205.14986522290855,2,0.007889200000136043,0.005940500000178872,0.013829700000314915,12,0,9.35451937436955e-10,True,4,1.3290638836179633
64,100.0,disconnected,harmonic,ones,1,jacobi,6,732,192,5.640625,125.71428571428571,205.14986522290855,2,3.200000082870247e-05,0.005073899999842979,0.0051059000006716815,162,0,8.34041408610985e-09,True,0,0.0
64,100.0,disconnected,harmonic,random,1,jacobi,7,732,192,5.640625,125.71428571428571,205.14986522290855,2,2.809999932651408e-05,0.011185499999555759,0.011213599998882273,269,0,8.338664267900116e-09,True,0,0.0
64,100.0,disconnected,harmonic,random,1,amg025,8,732,192,5.640625,125.71428571428571,205.14986522290855,2,0.007464799999979732,0.013852899999619694,0.021317699999599427,24,0,4.0908418071909425e-09,True,3,1.3134092346616066
64,100.0,disconnected,harmonic,ones,1,amg0,9,732,192,5.640625,125.71428571428571,205.14986522290855,2,0.008204900000237103,0.0062917000004745205,0.014496600000711624,12,0,1.620129007949926e-09,True,4,1.3290638836179633
64,100.0,disconnected,harmonic,dipole,1,amg025,10,732,192,5.640625,125.71428571428571,205.14986522290855,2,0.007606899999700545,0.01064940000014758,0.018256299999848125,24,0,4.550697760069245e-09,True,3,1.3134092346616066
64,100.0,disconnected,harmonic,random,0,cg,11,731,192,5.640625,125.71428571428571,205.14986522290855,2,8.999995770864189e-07,0.041543799999999464,0.04154469999957655,1154,0,9.757291475230356e-09,True,0,0.0
64,100.0,disconnected,harmonic,ones,1,amg025,12,732,192,5.640625,125.71428571428571,205.14986522290855,2,0.007372099999884085,0.010725499999352905,0.01809759999923699,24,0,4.7973326706037506e-09,True,3,1.3134092346616066
64,100.0,disconnected,harmonic,ones,0,amg025,13,731,192,5.640625,125.71428571428571,205.14986522290855,2,0.007085700000061479,0.010285100000146485,0.017370800000207964,24,0,4.718256933620167e-09,True,3,1.3134092346616066
64,100.0,disconnected,harmonic,random,1,cg,14,732,192,5.640625,125.71428571428571,205.14986522290855,2,6.999998731771484e-07,0.041633400000137044,0.04163410000001022,1154,0,9.757291475230356e-09,True,0,0.0
64,100.0,disconnected,harmonic,dipole,0,jacobi,15,731,192,5.640625,125.71428571428571,205.14986522290855,2,4.619999981514411e-05,0.0037907999994786223,0.0038369999992937665,118,0,8.77646439692091e-09,True,0,0.0
64,100.0,disconnected,harmonic,ones,1,cg,16,732,192,5.640625,125.71428571428571,205.14986522290855,2,6.000000212225132e-07,0.021435399999973015,0.021435999999994237,720,0,8.462978762621486e-09,True,0,0.0
64,100.0,disconnected,harmonic,dipole,0,cg,17,731,192,5.640625,125.71428571428571,205.14986522290855,2,8.000006346264854e-07,0.022516199999699893,0.02251700000033452,636,0,8.674183503857598e-09,True,0,0.0
64,100.0,disconnected,harmonic,dipole,1,jacobi,18,732,192,5.640625,125.71428571428571,205.14986522290855,2,3.749999996216502e-05,0.003959700000450539,0.003997200000412704,118,0,8.77646439692091e-09,True,0,0.0
