n,contrast,geometry,variant,average,rhs,jacobi_seconds,jacobi_iterations,amg0_seconds,amg0_iterations,winner,jacobi_to_amg,all_accepted,stable,jacobi_wins,min_paired_ratio,max_paired_ratio,max_residual
192,1000.0,disconnected,shift_x,harmonic,ones,0.12790730000051553,696,0.09679910000068048,16,amg0,1.3213686904074147,True,True,0,1.220917497169409,1.3368245262122944,2.4185633772269925e-09
192,1000.0,disconnected,shift_x,harmonic,dipole_y,0.12157720000050176,619,0.1001842999994551,16,amg0,1.2135354541695955,True,True,0,1.1482497756622843,1.2878099214056435,1.4010351234522045e-09
192,1000.0,disconnected,shift_x,harmonic,dipole_x,0.12509910000062519,677,0.09750119999989693,16,amg0,1.2830519009074497,True,True,0,1.193723317566003,1.8244135278055484,9.746160329003246e-10
192,1000.0,disconnected,centered,arithmetic,dipole_x,0.07896100000016304,404,0.1029169000003094,17,jacobi,0.7672306491929475,True,True,5,0.7078931692218293,0.8345888664056781,9.682583905481316e-10
192,1000.0,disconnected,centered,arithmetic,dipole_y,0.0995548000000781,494,0.10466600000017934,17,jacobi,0.9511665679390396,True,True,5,0.8267933844025159,0.9969882145696258,1.2812009353677047e-09
192,1000.0,disconnected,centered,arithmetic,random,0.18199559999993653,947,0.09441589999914868,15,amg0,1.9275948224989385,True,True,0,1.628999264875608,2.197725090374444,9.770568529277526e-10
192,1000.0,disconnected,centered,arithmetic,ones,0.1063772000006793,555,0.10140330000012909,17,amg0,1.049050671926297,True,False,2,0.9693911119539884,1.1903102164401254,2.1763089565496595e-09
128,1000.0,disconnected,centered,harmonic,dipole_x,0.026333500000873755,266,0.05241290000049048,15,jacobi,0.5024240215791785,True,True,5,0.4682446383489362,0.5297262423838608,9.11683285170616e-10
128,1000.0,disconnected,centered,harmonic,ones,0.03467539999928704,366,0.05030120000083116,16,jacobi,0.6893553235054845,True,True,5,0.6451198463615438,0.7531332549864213,1.2787223496323214e-09
128,1000.0,disconnected,centered,harmonic,random,0.05932109999957902,634,0.04813700000067911,14,amg0,1.2323389492228873,True,True,0,1.1284946806885587,1.4171702763352576,9.70628911533691e-10
128,1000.0,disconnected,centered,harmonic,dipole_y,0.03158330000042042,328,0.052251100000830775,16,jacobi,0.6044523464562135,True,True,5,0.559369469113769,0.6319331076207229,9.96971993990198e-10
96,1000.0,connected,centered,harmonic,ones,0.025985100000070815,445,0.028569899999638437,14,jacobi,0.9095271597170332,True,True,5,0.8755367394313076,0.9373965116022486,1.0672326654727145e-09
96,1000.0,connected,centered,harmonic,random,0.023696299999755865,433,0.026172300000325777,12,jacobi,0.905396163098425,True,True,5,0.8985759753621441,0.9070273042896361,9.63991313770639e-10
96,1000.0,connected,centered,harmonic,dipole_y,0.025208099999872502,450,0.02917000000070402,14,jacobi,0.8641789509518033,True,True,5,0.8376776426517402,0.9405837189008714,9.231380927028886e-10
96,1000.0,connected,centered,harmonic,dipole_x,0.02519670000037877,437,0.02806920000057289,13,jacobi,0.8976636313063608,True,True,5,0.8643956157143677,0.9520061030457876,9.111122240860413e-10
128,1000.0,connected,centered,harmonic,dipole_y,0.05446399999982532,600,0.0447915999993711,14,amg0,1.2159422749040003,True,True,0,1.1515708289937268,1.348037234690953,9.533683839628798e-10
