n,contrast,geometry,variant,average,rhs,repeat,order,method,seed,high_nodes,mean,tv,grad,components,setup,solve,total,iterations,info,residual,accepted,complexity
128,1000.0,disconnected,centered,arithmetic,random,4,4,jacobi,1705,768,47.828125,1258.5826771653544,620.3341162692709,2,0.00011629999971773941,0.07692640000004758,0.07704269999976532,635,0,9.28053873396141e-10,True,0.0
128,1000.0,disconnected,centered,arithmetic,ones,4,5,jacobi,1705,768,47.828125,1258.5826771653544,620.3341162692709,2,0.00010879999990720535,0.037276899999596935,0.03738569999950414,368,0,1.3868394842897765e-09,True,0.0
128,1000.0,disconnected,centered,arithmetic,dipole_y,4,6,amg0,1705,768,47.828125,1258.5826771653544,620.3341162692709,2,0.024824699999953737,0.024929799999881652,0.04975449999983539,16,0,3.276514667188019e-10,True,1.3399006034788783
128,1000.0,disconnected,centered,arithmetic,dipole_x,4,7,amg0,1705,768,47.828125,1258.5826771653544,620.3341162692709,2,0.022255199999563047,0.024877400000150374,0.04713259999971342,16,0,1.9349865037939333e-10,True,1.3399006034788783
96,1000.0,connected,transpose,harmonic,dipole_x,0,0,amg0,1701,432,47.828125,1261.8947368421052,464.02945705181685,1,0.01314879999972618,0.01249050000023999,0.02563929999996617,13,0,8.565112605377969e-11,True,1.342046388457675
96,1000.0,connected,transpose,harmonic,random,0,1,amg0,1701,432,47.828125,1261.8947368421052,464.02945705181685,1,0.012810700000045472,0.010417600000437233,0.023228300000482704,11,0,2.3030806591886388e-10,True,1.342046388457675
96,1000.0,connected,transpose,harmonic,random,0,2,jacobi,1701,432,47.828125,1261.8947368421052,464.02945705181685,1,6.620000021939632e-05,0.02287990000058926,0.022946100000808656,433,0,9.634835116513852e-10,True,0.0
96,1000.0,connected,transpose,harmonic,dipole_y,0,3,amg0,1701,432,47.828125,1261.8947368421052,464.02945705181685,1,0.013769799999863608,0.012453199999981734,0.026222999999845342,13,0,1.4565800329352166e-10,True,1.342046388457675
96,1000.0,connected,transpose,harmonic,ones,0,4,jacobi,1701,432,47.828125,1261.8947368421052,464.02945705181685,1,5.6400000175926834e-05,0.023551899999802117,0.023608299999978044,445,0,1.0770126691037334e-09,True,0.0
96,1000.0,connected,transpose,harmonic,ones,0,5,amg0,1701,432,47.828125,1261.8947368421052,464.02945705181685,1,0.013499900000169873,0.012390200000481855,0.025890100000651728,13,0,1.3505425493532745e-10,True,1.342046388457675
96,1000.0,connected,transpose,harmonic,dipole_y,0,6,jacobi,1701,432,47.828125,1261.8947368421052,464.02945705181685,1,5.3499999921768904e-05,0.024035700000240467,0.024089200000162236,450,0,9.243637454043341e-10,True,0.0
96,1000.0,connected,transpose,harmonic,dipole_x,0,7,jacobi,1701,432,47.828125,1261.8947368421052,464.02945705181685,1,5.429999964690069e-05,0.02348430000074586,0.023538600000392762,437,0,9.116272189847934e-10,True,0.0
96,1000.0,connected,transpose,harmonic,ones,1,0,jacobi,1702,432,47.828125,1261.8947368421052,464.02945705181685,1,5.5499999689345714e-05,0.024677800000063144,0.02473329999975249,445,0,1.0770126691037334e-09,True,0.0
96,1000.0,connected,transpose,harmonic,dipole_y,1,1,amg0,1702,432,47.828125,1261.8947368421052,464.02945705181685,1,0.012733900000057474,0.012478799999371404,0.025212699999428878,13,0,1.4587025573834708e-10,True,1.342046388457675
96,1000.0,connected,transpose,harmonic,random,1,2,amg0,1702,432,47.828125,1261.8947368421052,464.02945705181685,1,0.012880899999800022,0.010519299999941722,0.023400199999741744,11,0,2.2952475235671368e-10,True,1.342046388457675
96,1000.0,connected,transpose,harmonic,dipole_x,1,3,amg0,1702,432,47.828125,1261.8947368421052,464.02945705181685,1,0.013833999999405933,0.013046799999756331,0.026880799999162264,13,0,8.546226442649887e-11,True,1.342046388457675
96,1000.0,connected,transpose,harmonic,dipole_x,1,4,jacobi,1702,432,47.828125,1261.8947368421052,464.02945705181685,1,9.440000030735973e-05,0.023590599999806727,0.023685000000114087,437,0,9.116272189847934e-10,True,0.0
96,1000.0,connected,transpose,harmonic,dipole_y,1,5,jacobi,1702,432,47.828125,1261.8947368421052,464.02945705181685,1,5.729999975301325e-05,0.024031599999943865,0.024088899999696878,450,0,9.243637454043341e-10,True,0.0
96,1000.0,connected,transpose,harmonic,random,1,6,jacobi,1702,432,47.828125,1261.8947368421052,464.02945705181685,1,8.280000020022271e-05,0.023524799999904644,0.023607600000104867,433,0,9.634835116513852e-10,True,0.0
96,1000.0,connected,transpose,harmonic,ones,1,7,amg0,1702,432,47.828125,1261.8947368421052,464.02945705181685,1,0.013388500000473869,0.012426899999809393,0.025815400000283262,13,0,1.3214487620638587e-10,True,1.342046388457675
96,1000.0,connected,transpose,harmonic,dipole_x,2,0,jacobi,1703,432,47.828125,1261.8947368421052,464.02945705181685,1,5.480000072566327e-05,0.024275200000374753,0.024330000001100416,437,0,9.116272189847934e-10,True,0.0
96,1000.0,connected,transpose,harmonic,ones,2,1,jacobi,1703,432,47.828125,1261.8947368421052,464.02945705181685,1,5.710000004910398e-05,0.023808400000234542,0.023865500000283646,445,0,1.0770126691037334e-09,True,0.0
96,1000.0,connected,transpose,harmonic,ones,2,2,amg0,1703,432,47.828125,1261.8947368421052,464.02945705181685,1,0.013985999999931664,0.012401900000440946,0.02638790000037261,13,0,1.3914000599958565e-10,True,1.342046388457675
96,1000.0,connected,transpose,harmonic,dipole_y,2,3,jacobi,1703,432,47.828125,1261.8947368421052,464.02945705181685,1,5.979999968985794e-05,0.024191800000153307,0.024251599999843165,450,0,9.243637454043341e-10,True,0.0
96,1000.0,connected,transpose,harmonic,dipole_y,2,4,amg0,1703,432,47.828125,1261.8947368421052,464.02945705181685,1,0.014174999999340798,0.012272599999960221,0.02644759999930102,13,0,1.4640816311402863e-10,True,1.342046388457675
96,1000.0,connected,transpose,harmonic,random,2,5,jacobi,1703,432,47.828125,1261.8947368421052,464.02945705181685,1,5.4200000704440754e-05,0.02331010000034439,0.023364300001048832,433,0,9.634835116513852e-10,True,0.0
96,1000.0,connected,transpose,harmonic,random,2,6,amg0,1703,432,47.828125,1261.8947368421052,464.02945705181685,1,0.014881799999784562,0.010754500000075495,0.025636299999860057,11,0,2.3167908096339217e-10,True,1.342046388457675
96,1000.0,connected,transpose,harmonic,dipole_x,2,7,amg0,1703,432,47.828125,1261.8947368421052,464.02945705181685,1,0.015229200000248966,0.012842100000852952,0.028071300001101918,13,0,8.589662521025672e-11,True,1.342046388457675
96,1000.0,connected,transpose,harmonic,random,3,0,jacobi,1704,432,47.828125,1261.8947368421052,464.02945705181685,1,5.62999994144775e-05,0.02398780000021361,0.024044099999628088,433,0,9.634835116513852e-10,True,0.0
